Link,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC
pp-essendon-bombers--dyson-heppell,Dyson Heppell,13,12,25,6,0,0,0,0,1,3,1,1,2,2,0,83,89
pp-essendon-bombers--nick-hind,Nick Hind,18,7,25,6,0,0,4,0,0,8,1,5,6,1,1,100,77
pp-essendon-bombers--jye-caldwell,Jye Caldwell,9,13,22,4,0,1,9,0,1,2,3,4,0,2,0,104,74
pp-essendon-bombers--jordan-ridley,Jordan Ridley,16,5,21,6,0,0,3,0,0,0,0,0,10,2,0,90,125
pp-essendon-bombers--kyle-langford,Kyle Langford,10,9,19,5,0,0,3,0,1,1,3,2,0,1,0,76,71
pp-essendon-bombers--darcy-parish,Darcy Parish,9,9,18,4,1,1,4,0,1,6,3,1,0,1,0,81,99
pp-essendon-bombers--dylan-shiel,Dylan Shiel,8,9,17,3,2,0,4,0,1,4,4,0,0,0,0,79,104
pp-essendon-bombers--brayden-ham,Brayden Ham,7,10,17,2,0,0,4,0,0,2,1,2,0,0,0,63,53
pp-essendon-bombers--peter-wright,Peter Wright,9,7,16,3,1,0,0,6,1,3,1,4,2,2,1,61,62
pp-essendon-bombers--anthony-mcdonald-tipungwuti,Anthony M-Tipungwuti,9,7,16,4,2,1,1,0,2,4,0,1,0,1,0,71,71
pp-essendon-bombers--mason-redman,Mason Redman,9,6,15,4,0,1,0,0,0,2,0,1,2,0,0,52,49
pp-essendon-bombers--aaron-francis,Aaron Francis,5,9,14,3,0,0,1,0,0,1,0,4,0,1,1,44,51
pp-essendon-bombers--will-snelling,Will Snelling,5,9,14,2,1,0,5,0,0,2,0,2,0,0,0,65,66
pp-essendon-bombers--harrison-jones-1,Harrison Jones,9,4,13,5,0,3,2,0,0,0,0,2,0,2,0,63,48
pp-essendon-bombers--devon-smith,Devon Smith,7,5,12,2,2,1,4,0,1,3,0,2,0,1,1,64,78
pp-essendon-bombers--jayden-laverde,Jayden Laverde,4,8,12,2,0,0,2,0,0,1,0,2,3,1,1,40,51
pp-essendon-bombers--sam-draper,Sam Draper,5,5,10,2,1,1,5,24,0,3,4,4,1,2,2,78,76
pp-essendon-bombers--ned-cahill,Ned Cahill,6,4,10,1,0,0,2,0,0,1,1,3,4,0,1,34,37
pp-essendon-bombers--nikolas-cox,Nikolas Cox,5,4,9,3,0,0,1,0,0,3,0,4,1,0,3,27,33
pp-essendon-bombers--cale-hooker,Cale Hooker,3,5,8,3,1,1,1,1,0,0,0,0,0,1,0,41,45
pp-hawthorn-hawks--tom-mitchell,Tom Mitchell,11,28,39,1,0,0,5,0,1,4,2,4,3,0,2,106,135
pp-hawthorn-hawks--jaeger-o-meara,Jaeger O'Meara,11,19,30,2,0,1,4,0,0,5,9,4,3,0,2,88,101
pp-hawthorn-hawks--will-day,Will Day,17,11,28,8,0,0,3,0,0,1,3,5,7,0,2,103,122
pp-hawthorn-hawks--changkuoth-jiath,Changkuoth Jiath,7,15,22,4,0,1,2,0,1,3,1,4,0,1,2,67,69
pp-hawthorn-hawks--blake-hardwick,Blake Hardwick,14,7,21,7,0,0,4,0,0,1,0,1,6,1,1,91,90
pp-hawthorn-hawks--tom-phillips,Tom Phillips,10,11,21,7,1,0,2,0,0,3,2,1,4,0,0,87,90
pp-hawthorn-hawks--jarman-impey,Jarman Impey,15,5,20,5,0,0,1,0,0,3,1,5,7,0,0,74,64
pp-hawthorn-hawks--harry-morrison,Harry Morrison,13,7,20,5,2,0,3,0,0,2,2,4,3,0,1,89,96
pp-hawthorn-hawks--liam-shiels,Liam Shiels,8,11,19,2,0,0,6,0,3,6,2,2,1,0,2,70,97
pp-hawthorn-hawks--daniel-howe,Daniel Howe,11,8,19,7,0,0,1,0,0,6,0,6,1,1,1,72,60
pp-hawthorn-hawks--dylan-moore,Dylan Moore,7,12,19,3,3,0,3,0,0,0,1,0,0,2,0,86,97
pp-hawthorn-hawks--luke-breust,Luke Breust,7,11,18,4,1,2,2,0,1,1,0,1,0,1,0,72,80
pp-hawthorn-hawks--shaun-burgoyne,Shaun Burgoyne,11,6,17,1,0,0,3,0,0,2,0,3,5,0,1,57,54
pp-hawthorn-hawks--sam-frost,Sam Frost,7,10,17,4,0,0,1,0,0,0,1,0,5,0,0,57,92
pp-hawthorn-hawks--james-worpel,James Worpel,12,5,17,4,0,0,3,0,0,2,2,2,0,0,1,67,45
pp-hawthorn-hawks--jonathon-ceglar,Jonathon Ceglar,10,6,16,5,1,0,2,14,0,7,3,5,0,2,2,81,86
pp-hawthorn-hawks--ben-mcevoy,Ben McEvoy,8,6,14,7,1,0,4,14,0,0,4,2,3,1,2,88,89
pp-hawthorn-hawks--oliver-hanrahan,Oliver Hanrahan,8,4,12,4,1,1,2,0,0,2,0,1,0,3,0,62,41
pp-hawthorn-hawks--kyle-hartigan,Kyle Hartigan,5,4,9,4,0,0,0,0,0,0,0,2,3,0,1,32,48
pp-hawthorn-hawks--tyler-brockman,Tyler Brockman,5,4,9,3,2,0,1,0,0,1,0,5,0,0,1,45,22
pp-hawthorn-hawks--tim-o-brien,Tim O'Brien,7,1,8,6,2,0,2,0,2,3,0,3,0,0,3,52,72
pp-hawthorn-hawks--jacob-koschitzke,Jacob Koschitzke,3,4,7,3,0,1,5,0,1,1,0,2,0,0,1,44,53
pp-kangaroos--jaidyn-stephenson,Jaidyn Stephenson,17,16,33,5,0,2,7,0,0,5,5,4,4,3,1,128,112
pp-kangaroos--jack-ziebell,Jack Ziebell,19,6,25,4,0,0,3,0,0,1,0,2,10,2,0,95,113
pp-kangaroos--jy-simpkin,Jy Simpkin,10,13,23,2,0,0,2,0,1,4,6,4,1,1,2,65,87
pp-kangaroos--jared-polec,Jared Polec,13,9,22,2,0,0,2,0,0,3,3,5,3,2,3,64,68
pp-kangaroos--shaun-atley,Shaun Atley,12,8,20,4,0,0,3,0,0,4,1,3,2,3,0,79,87
pp-kangaroos--luke-davies-uniacke,Luke D-Uniacke,11,9,20,4,1,1,5,0,0,3,2,3,2,1,3,82,114
pp-kangaroos--todd-goldstein,Todd Goldstein,4,15,19,1,1,0,3,25,0,1,5,1,0,5,1,90,109
pp-kangaroos--tom-powell,Tom Powell,12,7,19,3,1,1,1,0,1,2,0,4,4,1,1,68,53
pp-kangaroos--bailey-scott,Bailey Scott,13,4,17,6,2,2,4,0,0,1,1,2,2,1,1,93,93
pp-kangaroos--connor-menadue,Connor Menadue,8,8,16,5,0,0,1,0,0,2,0,3,2,2,0,61,62
pp-kangaroos--tarryn-thomas,Tarryn Thomas,8,7,15,3,2,0,3,0,0,6,1,4,0,2,1,70,74
pp-kangaroos--jack-mahony,Jack Mahony,11,3,14,3,1,1,3,0,1,2,2,7,0,3,2,64,48
pp-kangaroos--lachie-young,Lachie Young,8,6,14,3,0,0,2,0,0,2,0,1,4,2,0,55,85
pp-kangaroos--dom-tyson,Dom Tyson,5,8,13,6,0,0,3,0,0,3,0,4,0,0,1,58,29
pp-kangaroos--aidan-corr,Aidan Corr,7,5,12,5,0,0,0,0,0,0,0,1,3,0,0,46,74
pp-kangaroos--kayne-turner,Kayne Turner,2,10,12,2,0,1,4,0,0,0,1,6,0,0,2,43,51
pp-kangaroos--ben-mckay,Ben McKay,5,6,11,4,0,0,3,0,0,2,1,2,1,2,2,47,69
pp-kangaroos--cameron-zurhaar,Cameron Zurhaar,5,5,10,1,0,0,4,0,0,3,0,3,0,0,1,41,26
pp-kangaroos--aiden-bonar,Aiden Bonar,7,3,10,4,0,0,1,0,0,0,0,1,3,1,1,41,49
pp-kangaroos--curtis-taylor,Curtis Taylor,5,5,10,2,0,0,0,0,1,3,0,2,0,2,0,33,41
pp-kangaroos--joshua-walker,Joshua Walker,6,1,7,6,1,1,1,0,0,1,0,1,0,0,1,46,44
pp-kangaroos--nick-larkey,Nick Larkey,4,3,7,1,0,0,0,3,2,2,1,0,1,0,0,24,43
pp-kangaroos--charlie-lazzaro,Charlie Lazzaro,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,10,3
pp-port-adelaide-power--oliver-wines,Oliver Wines,15,15,30,5,0,0,2,0,0,8,5,7,0,2,3,91,81
pp-port-adelaide-power--travis-boak,Travis Boak,17,10,27,3,2,1,4,0,2,6,7,3,1,3,1,109,160
pp-port-adelaide-power--dan-houston,Dan Houston,18,8,26,3,0,1,1,0,1,6,0,5,6,1,1,82,82
pp-port-adelaide-power--steven-motlop,Steven Motlop,16,8,24,12,1,0,2,0,0,6,0,3,0,1,1,112,92
pp-port-adelaide-power--robert-gray,Robbie Gray,11,8,19,3,0,1,1,0,2,1,7,1,2,2,0,65,82
pp-port-adelaide-power--darcy-byrne-jones,Darcy B-Jones,13,6,19,5,0,0,1,0,1,0,2,3,5,1,2,65,62
pp-port-adelaide-power--ryan-burton,Ryan Burton,12,7,19,5,0,0,3,0,0,1,1,3,7,2,2,73,96
pp-port-adelaide-power--willem-drew,Willem Drew,6,11,17,1,0,0,11,0,0,2,6,5,0,2,3,80,83
pp-port-adelaide-power--karl-amon,Karl Amon,12,4,16,4,1,0,3,0,0,3,0,1,3,0,0,74,110
pp-port-adelaide-power--zak-butters,Zak Butters,11,5,16,5,2,1,4,0,1,3,1,4,1,1,3,79,98
pp-port-adelaide-power--peter-ladhams,Peter Ladhams,7,8,15,4,0,0,2,7,1,3,2,2,0,0,1,61,45
pp-port-adelaide-power--aliir-aliir,Aliir Aliir,11,3,14,4,0,0,1,0,0,1,0,5,6,1,4,44,74
pp-port-adelaide-power--orazio-fantasia,Orazio Fantasia,11,3,14,3,4,4,2,0,1,4,0,2,0,0,1,81,94
pp-port-adelaide-power--riley-bonner,Riley Bonner,11,3,14,2,1,0,1,0,1,5,0,3,1,0,1,52,72
pp-port-adelaide-power--xavier-duursma,Xavier Duursma,8,6,14,5,1,0,1,0,0,1,0,6,1,1,3,53,51
pp-port-adelaide-power--miles-bergman,Miles Bergman,7,7,14,2,0,0,3,0,0,1,0,4,3,0,0,53,31
pp-port-adelaide-power--scott-lycett,Scott Lycett,5,8,13,2,1,0,5,28,0,3,3,3,0,3,2,88,94
pp-port-adelaide-power--tom-clurey,Tom Clurey,9,3,12,8,0,0,2,0,0,0,0,0,2,0,0,65,81
pp-port-adelaide-power--tom-rockliff,Tom Rockliff,3,8,11,0,0,1,0,0,0,1,2,0,0,1,0,27,25
pp-port-adelaide-power--charlie-dixon,Charlie Dixon,6,5,11,3,2,2,0,1,1,0,0,4,0,1,3,44,88
pp-port-adelaide-power--kane-farrell,Kane Farrell,6,5,11,1,0,1,1,0,0,3,0,1,0,0,1,33,28
pp-port-adelaide-power--todd-marshall,Todd Marshall,9,1,10,5,2,1,0,0,0,1,0,2,1,1,1,55,74
pp-port-adelaide-power--thomas-jonas,Thomas Jonas,5,4,9,2,0,0,4,0,0,1,0,1,1,0,0,45,63
pp-gold-coast-suns--jack-bowes,Jack Bowes,28,2,30,14,0,0,2,0,0,1,1,2,7,0,1,135,146
pp-gold-coast-suns--david-swallow,David Swallow,14,15,29,5,1,1,3,0,0,1,2,1,4,1,0,107,119
pp-gold-coast-suns--jack-lukosius,Jack Lukosius,20,3,23,11,0,2,1,0,0,4,1,1,5,0,0,105,102
pp-gold-coast-suns--lachlan-weller,Lachlan Weller,13,8,21,6,1,0,3,0,0,4,3,7,1,1,2,86,73
pp-gold-coast-suns--charlie-ballard,Charlie Ballard,17,4,21,12,0,0,0,0,0,0,0,5,1,1,2,90,87
pp-gold-coast-suns--touk-miller,Touk Miller,11,9,20,1,1,1,2,0,0,4,4,3,0,2,1,68,80
pp-gold-coast-suns--oleg-markov,Oleg Markov,17,3,20,14,0,0,2,0,0,0,0,3,3,1,0,108,89
pp-gold-coast-suns--brandon-ellis,Brandon Ellis,14,5,19,9,0,0,2,0,1,4,0,2,0,0,1,84,64
pp-gold-coast-suns--noah-anderson,Noah Anderson,13,6,19,3,0,0,3,0,0,1,3,8,1,0,2,66,55
pp-gold-coast-suns--samuel-collins,Samuel Collins,15,3,18,10,0,0,2,0,0,0,0,3,6,4,0,93,97
pp-gold-coast-suns--will-brodie,Will Brodie,9,9,18,2,0,1,0,0,0,1,5,3,0,1,1,50,54
pp-gold-coast-suns--wil-powell,Wil Powell,11,7,18,5,0,0,2,0,0,1,1,1,5,1,0,71,88
pp-gold-coast-suns--darcy-macpherson,Darcy Macpherson,11,6,17,6,0,0,0,0,0,3,2,2,0,0,0,63,65
pp-gold-coast-suns--sean-lemmens,Sean Lemmens,11,5,16,7,0,0,2,0,0,2,0,3,3,0,3,63,62
pp-gold-coast-suns--jarrod-witts,Jarrod Witts,6,6,12,3,0,0,4,31,0,0,3,3,1,0,1,83,75
pp-gold-coast-suns--alex-sexton,Alex Sexton,9,3,12,6,1,1,1,0,2,6,0,1,1,0,0,62,71
pp-gold-coast-suns--ben-king,Ben King,9,3,12,7,3,1,0,0,0,5,0,4,0,2,0,75,57
pp-gold-coast-suns--connor-budarick,Connor Budarick,7,5,12,6,0,0,1,0,0,1,0,4,1,0,3,44,41
pp-gold-coast-suns--izak-rankine,Izak Rankine,4,7,11,3,0,1,1,0,1,2,2,2,0,0,1,37,41
pp-gold-coast-suns--sam-day,Sam Day,3,7,10,2,0,2,1,0,0,0,0,3,0,0,2,29,34
pp-gold-coast-suns--hugh-greenwood,Hugh Greenwood,7,3,10,2,0,0,5,0,0,3,1,1,0,0,0,53,50
pp-gold-coast-suns--nicholas-holman,Nicholas Holman,4,5,9,3,1,0,1,0,0,1,1,0,0,0,0,41,53
pp-gold-coast-suns--matt-rowell,Matt Rowell,3,1,4,0,0,0,1,0,0,0,1,2,0,1,0,16,6
pp-west-coast-eagles--dominic-sheed,Dominic Sheed,23,11,34,12,0,1,3,0,1,4,9,7,4,1,1,138,98
pp-west-coast-eagles--shannon-hurn,Shannon Hurn,23,8,31,12,0,0,2,0,0,3,0,2,4,0,0,129,118
pp-west-coast-eagles--tim-kelly,Tim Kelly,19,9,28,7,0,1,3,0,1,9,5,0,1,2,0,111,114
pp-west-coast-eagles--jack-redden,Jack Redden,11,11,22,7,0,0,2,0,0,4,3,4,2,0,1,81,78
pp-west-coast-eagles--tom-barrass,Tom Barrass,15,7,22,13,0,0,2,0,0,2,0,2,1,0,1,103,117
pp-west-coast-eagles--liam-duggan,Liam Duggan,15,7,22,7,0,0,0,0,0,2,2,2,0,0,2,74,62
pp-west-coast-eagles--tom-cole,Tom Cole,14,8,22,8,0,0,1,0,0,2,1,1,5,1,0,87,100
pp-west-coast-eagles--jamie-cripps,Jamie Cripps,12,8,20,8,1,3,1,0,0,3,0,2,0,2,1,88,85
pp-west-coast-eagles--jackson-nelson,Jackson Nelson,14,5,19,5,0,0,1,0,0,1,0,1,1,0,0,71,72
pp-west-coast-eagles--bradley-sheppard,Bradley Sheppard,13,5,18,8,0,0,1,0,1,2,1,2,4,0,0,77,64
pp-west-coast-eagles--jeremy-mcgovern,Jeremy McGovern,15,3,18,7,0,0,2,0,0,0,0,2,7,1,1,78,91
pp-west-coast-eagles--xavier-o-neill,Xavier O'Neill,9,9,18,2,0,0,2,0,0,2,0,2,0,1,0,60,60
pp-west-coast-eagles--andrew-gaff,Andrew Gaff,12,4,16,8,0,1,1,0,0,2,1,1,2,0,1,70,57
pp-west-coast-eagles--josh-rotham,Josh Rotham,12,4,16,9,0,0,2,0,0,0,0,2,3,1,0,80,71
pp-west-coast-eagles--nicholas-naitanui,Nicholas Naitanui,4,10,14,0,0,1,1,22,1,3,6,2,0,1,1,57,86
pp-west-coast-eagles--jack-darling,Jack Darling,8,6,14,4,2,1,3,0,0,3,1,4,0,2,2,69,78
pp-west-coast-eagles--oscar-allen,Oscar Allen,11,2,13,9,4,0,2,0,0,0,0,2,2,3,1,96,98
pp-west-coast-eagles--liam-ryan,Liam Ryan,10,2,12,4,1,0,2,0,1,7,0,1,0,2,0,62,70
pp-west-coast-eagles--zac-giles-langdon,Zac Langdon,6,6,12,6,0,1,1,0,1,1,0,2,0,2,1,52,54
pp-west-coast-eagles--joshua-kennedy,Joshua Kennedy,8,2,10,5,2,2,1,0,1,2,0,3,0,1,2,56,54
pp-west-coast-eagles--jack-petruccelle,Jack Petruccelle,3,3,6,1,1,0,1,0,0,0,1,0,0,0,0,28,31
pp-west-coast-eagles--nathan-vardy,Nathan Vardy,2,1,3,3,1,0,0,1,0,0,0,0,0,0,0,24,34
pp-greater-western-sydney-giants--jacob-hopper,Jacob Hopper,13,14,27,1,1,0,3,0,3,8,6,8,1,2,2,84,110
pp-greater-western-sydney-giants--joshua-kelly,Joshua Kelly,15,11,26,3,0,0,4,0,0,3,5,4,4,2,1,91,98
pp-greater-western-sydney-giants--tim-taranto,Tim Taranto,19,7,26,3,1,2,4,0,0,7,3,3,0,2,1,103,107
pp-greater-western-sydney-giants--harry-perryman,Harry Perryman,15,11,26,7,0,1,3,0,0,4,0,4,7,0,0,101,104
pp-greater-western-sydney-giants--callan-ward,Callan Ward,12,13,25,4,1,0,2,1,0,3,4,3,0,2,2,85,110
pp-greater-western-sydney-giants--stephen-coniglio,Stephen Coniglio,19,5,24,0,1,0,2,0,0,8,5,4,3,4,0,85,88
pp-greater-western-sydney-giants--isaac-cumming,Isaac Cumming,13,9,22,3,0,0,3,0,0,1,1,6,6,0,0,78,81
pp-greater-western-sydney-giants--lachlan-ash,Lachlan Ash,16,5,21,3,0,0,0,0,0,5,0,4,5,1,1,65,63
pp-greater-western-sydney-giants--nick-haynes,Nick Haynes,16,3,19,7,0,0,0,0,0,3,1,5,2,1,1,73,89
pp-greater-western-sydney-giants--toby-greene,Toby Greene,13,6,19,2,1,3,1,0,1,3,2,3,0,3,0,73,86
pp-greater-western-sydney-giants--matthew-flynn,Matthew Flynn,7,11,18,6,0,0,0,34,0,5,5,1,3,4,0,99,140
pp-greater-western-sydney-giants--tom-green,Tom Green,3,13,16,1,1,0,2,0,0,1,1,4,0,0,1,49,50
pp-greater-western-sydney-giants--matthew-deboer,Matthew De Boer,6,8,14,2,0,0,3,0,0,3,3,2,1,2,0,54,60
pp-greater-western-sydney-giants--sam-taylor,Sam Taylor,3,11,14,1,0,0,1,0,0,1,0,2,2,0,0,38,70
pp-greater-western-sydney-giants--harrison-himmelberg,Harrison Himmelberg,9,3,12,3,3,1,2,1,2,3,1,3,0,4,1,71,93
pp-greater-western-sydney-giants--lachlan-keeffe,Lachlan Keeffe,7,4,11,3,1,0,1,11,0,2,0,3,0,1,0,60,57
pp-greater-western-sydney-giants--phil-davis,Phil Davis,7,3,10,4,0,0,0,0,0,0,0,2,3,0,1,36,55
pp-greater-western-sydney-giants--jack-buckley,Jack Buckley,6,4,10,1,0,1,4,0,1,1,1,2,2,1,1,44,62
pp-greater-western-sydney-giants--connor-idun,Connor Idun,7,2,9,3,0,0,1,0,0,3,0,1,1,0,0,38,46
pp-greater-western-sydney-giants--tanner-bruhn,Tanner Bruhn,2,7,9,0,0,0,2,0,1,0,1,0,0,1,0,29,48
pp-greater-western-sydney-giants--ian-hill,Ian Hill,6,2,8,2,1,0,6,0,1,3,1,3,1,0,2,52,51
pp-greater-western-sydney-giants--samuel-reid,Samuel Reid,4,0,4,1,0,1,2,0,0,1,0,0,2,0,0,24,21
pp-st-kilda-saints--jack-billings,Jack Billings,15,15,30,5,1,0,1,0,0,4,2,2,0,0,0,100,114
pp-st-kilda-saints--jade-gresham,Jade Gresham,21,7,28,5,0,0,3,0,1,7,5,8,0,0,3,95,82
pp-st-kilda-saints--hunter-clark,Hunter Clark,17,7,24,4,0,0,5,0,1,5,6,4,5,0,2,91,113
pp-st-kilda-saints--tim-membrey,Tim Membrey,15,6,21,7,3,0,0,2,1,7,0,3,1,2,0,100,108
pp-st-kilda-saints--sebastian-ross,Sebastian Ross,11,8,19,4,2,0,2,0,0,4,4,4,0,0,0,81,87
pp-st-kilda-saints--jack-steele,Jack Steele,13,6,19,0,0,1,9,0,1,5,8,7,3,2,4,78,91
pp-st-kilda-saints--tom-highmore,Tom Highmore,10,9,19,2,0,0,4,0,0,2,2,6,4,1,3,62,60
pp-st-kilda-saints--jack-sinclair,Jack Sinclair,11,7,18,2,0,1,2,0,1,2,2,3,4,0,1,59,82
pp-st-kilda-saints--dougal-howard,Dougal Howard,15,2,17,1,0,0,1,0,0,1,0,2,9,0,0,56,99
pp-st-kilda-saints--ben-long,Ben Long,13,4,17,5,0,0,1,0,0,2,3,3,4,0,1,63,79
pp-st-kilda-saints--nicholas-coffield,Nicholas Coffield,13,4,17,4,0,0,3,0,0,1,1,6,6,1,0,72,66
pp-st-kilda-saints--bradley-hill,Bradley Hill,8,8,16,3,1,1,2,0,0,1,3,2,3,0,1,61,68
pp-st-kilda-saints--jimmy-webster,Jimmy Webster,9,4,13,4,0,0,1,0,0,0,0,3,4,0,1,48,51
pp-st-kilda-saints--jack-bytel,Jack Bytel,9,4,13,1,0,0,10,0,0,5,6,2,1,1,0,79,74
pp-st-kilda-saints--jack-higgins,Jack Higgins,8,4,12,3,2,1,4,0,1,4,2,2,0,1,1,68,77
pp-st-kilda-saints--callum-wilkie,Callum Wilkie,8,4,12,0,0,0,2,0,0,0,0,4,4,2,2,36,46
pp-st-kilda-saints--jack-lonie,Jack Lonie,6,5,11,2,2,0,3,0,0,1,0,0,0,0,0,58,62
pp-st-kilda-saints--josh-battle,Josh Battle,8,3,11,1,1,1,3,0,0,2,0,2,2,2,1,51,58
pp-st-kilda-saints--daniel-butler,Daniel Butler,9,1,10,0,1,0,7,0,1,2,1,2,0,1,1,61,60
pp-st-kilda-saints--daniel-mckenzie,Daniel McKenzie,6,3,9,2,0,0,4,0,0,2,0,1,1,0,0,46,44
pp-st-kilda-saints--paul-hunter,Paul Hunter,5,4,9,1,0,0,2,19,0,0,1,4,2,0,3,44,44
pp-st-kilda-saints--shaun-mckernan,Shaun McKernan,5,1,6,0,0,0,3,17,0,1,3,8,2,1,5,32,46
